Base potencial revisada[Producto_],Base potencial revisada[RM/REIQ],Base potencial revisada[Cultivo],Base potencial revisada[Zona.País],[SumUtilidad_potencial___M_],[SumVolumen_potencial__kL_],[Sumha_s_Total],[Sumha_s_Potencial],[AverageK_L_ha],[AverageFrec__Aplicación],Anexar14.Volumen,Vol 2022,Vol 2023
ACIGGIB ADSTRONG,AACSA,FRAMBUESAS,Mx,0.07194067,0.108,5150,1800,0.2,1,60,,0.0%
AGROMIL PLUS REACTMAXX,AACSA,AGUACATES,Mx,8.896823146,8.5248,23680,9472,1.5,2,2516,,0.0%
AGROMIL PLUS REACTMAXX,AACSA,ZARZAMORAS,Mx,3.130920308,3,6000,5000,1,2,20921,4.32,144.0%
AGROMIL PLUS REACTMAXX,AACSA,TOMATES,Mx,3.005683495,2.88,5000,4000,0.8,3,2642,0.84,29.2%
AGROMIL PLUS REACTMAXX,AACSA,ARÁNDANOS,Mx,1.408914138,1.35,1576,1500,1,3,600,,0.0%
AGROMIL PLUS REACTMAXX,AACSA,CHILES PICOSOS,Mx,0.939276092,0.9,3000,2000,0.5,3,2437,0.6,66.7%
AGROMIL PLUS REACTMAXX,AACSA,PAPAYA,Mx,0.500947249,0.48,10000,4000,0.2,2,664,,0.0%
AGROMIL V,AACSA,AGUACATES,Mx,2.123860911,7.2,23680,8000,1,3,1925,0.12,1.7%
AGROMIL V,AACSA,PAPAYA,Mx,1.061930455,3.6,10000,4000,1,3,570,,0.0%
AGROMIL V,AACSA,ZARZAMORAS,Mx,1.061930455,3.6,6000,4000,1,3,5330,1.14,31.7%
AGROMIL V,AACSA,BANANO,Mx,0.77432429,2.625,10000,7000,0.25,5,3540,0.72,27.4%
AGROMIL V,AACSA,TOMATES,Mx,0.353976818,1.2,5000,2000,1,2,240,,0.0%
AV5G BIOACTIVE,AACSA,AGAVE,Mx,33.60912728,23.1,168000,38500,1,2,,,0.0%
AV5G BIOACTIVE,AACSA,AGUACATES,Mx,17.4592869,12,23680,10000,2,2,,,0.0%
AV5G BIOACTIVE,AACSA,PAPAYA,Mx,6.547232586,4.5,10000,5000,1,3,,,0.0%
AV5G BIOACTIVE,AACSA,ZARZAMORAS,Mx,5.237786069,3.6,6000,4000,1,3,,,0.0%
AV5G BIOACTIVE,AACSA,FRAMBUESAS,Mx,3.928339552,2.7,5150,3000,1,3,,,0.0%
AV5G BIOACTIVE,AACSA,ARÁNDANOS,Mx,1.74592869,1.2,1576,1000,1,4,,,0.0%
